processo,job_type,produto,job_id,job_name,qtd_ok,exito,fallo,fallo,fim,time,pol/sec,usuario
JOB,Renew Policy,ScotiabankSalud,529951,Teste Karina,60,58,2,11/07/2023 8:34,11/07/2023 8:45,671,0.09,mantovanika
JOB,Periodic Premium Billing Generation [ODM],ScotiabankNom10,529903,Pruebas_PERF_CAP_PERIODIC_ScotiabankNom10,146,146,0,10/07/2023 12:42,10/07/2023 13:02,1216,0.12,f47755 - Maria Canencio
JOB,Periodic Premium Billing Generation [ODM],ScotiabankNom10,529902,Pruebas_PERF_CAP_PERIODIC_ScotiabankNom10,48,41,0,10/07/2023 9:01,10/07/2023 9:30,1777,0.03,mantovanika
JOB,Renew Policy [ODM],ScotiabankSalud,529901,Pruebas_PERF_CAP_RENEW_ScotiabankSalud,3701,3699,2,10/07/2023 8:22,10/07/2023 18:30,36461,0.1,mantovanika
JOB,Periodic Premium Billing Generation [ODM],ScotiabankNom10,528902,Pruebas_PERF_CAP_PERIODIC_ScotiabankNom10,0,0,0,07/07/2023 11:02,07/07/2023 11:25,1415,0,e41494 - Diana Diaz
JOB,Renew Policy [ODM],ScotiabankSalud,528901,Pruebas_PERF_CAP_RENEW_ScotiabankSalud,44089650,29687,2,07/07/2023 9:16,10/07/2023 1:31,231313,190.61,mantovanika
JOB,Close For Age [ODM],ScotiabankSalud,527904,Pruebas_PERF_CAP_AGE_ScotiabankSalud,0,0,0,06/07/2023 16:55,06/07/2023 17:01,353,0,e41494 - Diana Diaz
JOB,Close For Age [ODM],ScotiabankSalud,527903,Pruebas_PERF_CAP_AGE_ScotiabankSalud,960,960,0,06/07/2023 16:42,06/07/2023 16:55,819,1.17,f47755 - Maria Canencio
JOB,Close For Age [ODM],ScotiabankSalud,527902,Pruebas_PERF_CAP_AGE_ScotiabankSalud,0,0,0,06/07/2023 16:15,06/07/2023 16:22,423,0,e41494 - Diana Diaz
JOB,Close For Age [ODM],ScotiabankSalud,527901,Pruebas_PERF_CAP_AGE_ScotiabankSalud,4699,4702,0,06/07/2023 8:31,06/07/2023 9:14,2542,1.85,e41494 - Diana Diaz
JOB,Close For Age [ODM],ScotiabankSalud,526903,Pruebas_PERF_CAP_AGE_ScotiabankSalud,0,0,0,05/07/2023 17:34,05/07/2023 17:43,561,0,e41494 - Diana Diaz
JOB,Close For Age [ODM],ScotiabankSalud,526902,Pruebas_PERF_CAP_AGE_ScotiabankSalud,2822,2822,0,05/07/2023 15:23,05/07/2023 15:45,1337,2.11,f47755 - Maria Canencio
JOB,Close For Maturity [ODM],ScotiabankSalud,526901,Pruebas_PERF_CAP_CIERRE_ScotiabankSalud,0,0,0,05/07/2023 15:22,05/07/2023 15:22,20,0,f47755 - Maria Canencio
JOB,Periodic Premium Billing Generation [ODM],ScotiabankNom10,525953,Pruebas_PERF_CAP_PERIODIC_ScotiabankNom10,0,0,0,05/07/2023 12:10,05/07/2023 12:34,1395,0,f47755 - Maria Canencio
JOB,Periodic Premium Billing Generation [ODM],ScotiabankNom10,525951,Pruebas_PERF_CAP_PERIODIC_ScotiabankNom10,0,0,0,05/07/2023 8:29,05/07/2023 8:51,1326,0,f47755 - Maria Canencio
JOB,Close For Age [ODM],ScotiabankSalud,525901,Pruebas_PERF_CAP_AGE_ScotiabankSalud,2555,0,0,05/07/2023 2:36,05/07/2023 2:57,1263,02.02,e41494 - Diana Diaz
JOB,Close For Maturity [ODM],ScotiabankNom10,524903,Pruebas_PERF_CAP_CIERRE_ScotiabankNom10,12,12,0,04/07/2023 16:04,04/07/2023 19:26,12111,0,f47755 - Maria Canencio
JOB,Renew Policy [ODM],ScotiabankSalud,524902,Pruebas_PERF_CAP_RENEW_ScotiabankSalud,46162410,30377,2,04/07/2023 8:53,04/07/2023 22:13,47980,962.12,f47755 - Maria Canencio
JOB,Close For Maturity [ODM],ScotiabankNom10,524901,Cierre Maturidad Karina,1,1,0,30/06/2023 13:53,30/06/2023 21:50,28637,0,mantovanika
JOB,Close For Age [ODM],ScotiabankSalud,523904,Pruebas_PERF_CAP_AGE_ScotiabankSalud,0,0,0,30/06/2023 7:25,30/06/2023 7:25,1,0,f47755 - Maria Canencio
JOB,Close For Age [ODM],ScotiabankSalud,523903,Pruebas_PERF_CAP_AGE_ScotiabankSalud,0,0,0,30/06/2023 7:15,30/06/2023 7:15,16,0,f47755 - Maria Canencio
JOB,Periodic Premium Billing Generation [ODM],ScotiaHogarNuevos,523901,Periodicas Karina,1,1,0,30/06/2023 6:16,30/06/2023 6:18,82,0.01,mantovanika
JOB,Periodic Premium Billing Generation [ODM],ScotiaHogarNuevos,522905,Periodicas Karina,1,1,0,28/06/2023 9:32,28/06/2023 9:33,55,0.02,mantovanika
JOB,Periodic Premium Billing Generation [ODM],ScotiaConstruccion,522904,Periodicas Karina,1,1,0,28/06/2023 9:25,28/06/2023 9:25,11,0.09,mantovanika
JOB,Periodic Premium Billing Generation [ODM],ScotiaConstruccion,522903,Periodicas Karina,1,1,0,28/06/2023 9:23,28/06/2023 9:24,63,0.02,mantovanika
JOB,Renew Policy [ODM],ScotiabankSalud,521902,Pruebas_PERF_CAP_RENEW_ScotiabankSalud,41860,907,2,27/06/2023 8:09,27/06/2023 11:48,13142,3.19,f47755 - Maria Canencio
JOB,Periodic Premium Billing Generation [ODM],ScotiabankNom10,521901,Pruebas_PERF_CAP_PERIODIC_ScotiabankNom10,13,0,0,26/06/2023 9:52,26/06/2023 10:15,1393,0.01,f47755 - Maria Canencio
JOB,Renew Policy [ODM],ScotiabankSalud,520905,Pruebas_PERF_CAP_RENEW_ScotiabankSalud,77500,1236,2,23/06/2023 15:07,26/06/2023 6:33,228378,0.34,f47755 - Maria Canencio
JOB,Periodic Premium Billing Generation [ODM],ScotiabankNom10,520903,Pruebas_PERF_CAP_PERIODIC_ScotiabankNom10,5,0,0,23/06/2023 10:35,23/06/2023 10:39,227,0.02,f47755 - Maria Canencio
JOB,Periodic Premium Billing Generation [ODM],ScotiabankNom10,520902,Pruebas_PERF_CAP_PERIODIC_ScotiabankNom10,0,0,0,23/06/2023 10:16,23/06/2023 10:20,228,0,f47755 - Maria Canencio
JOB,Renew Policy [ODM],ScotiabankSalud,520901,Pruebas_PERF_CAP_RENEW_ScotiabankSalud,1000,997,2,23/06/2023 8:41,23/06/2023 10:09,5305,0.19,f47755 - Maria Canencio
JOB,Periodic Premium Billing Generation [ODM],ScotiabankNom10,519908,Pruebas_PERF_CAP_PERIODIC_ScotiabankNom10,0,0,0,23/06/2023 7:33,23/06/2023 7:38,311,0,f47755 - Maria Canencio
JOB,Renew Policy [ODM],ScotiabankSalud,519907,Pruebas_PERF_CAP_RENEW_ScotiabankSalud,1000,998,2,22/06/2023 19:10,22/06/2023 21:57,10057,0.1,f47755 - Maria Canencio
JOB,Close For Age [ODM],ScotiabankSalud,519906,Pruebas_PERF_CAP_AGE_ScotiabankSalud,10,10,0,22/06/2023 18:51,22/06/2023 18:58,436,0.02,f47755 - Maria Canencio
JOB,Close For Age [ODM],ScotiabankSalud,519905,Pruebas_PERF_CAP_AGE_ScotiabankSalud,0,0,0,22/06/2023 18:43,22/06/2023 18:50,423,0,f47755 - Maria Canencio
JOB,Close For Age [ODM],ScotiabankSalud,519904,Pruebas_PERF_CAP_AGE_ScotiabankSalud,0,0,0,22/06/2023 18:25,22/06/2023 18:30,258,0,f47755 - Maria Canencio
JOB,Renew Policy [ODM],ScotiabankSalud,519903,Pruebas_PERF_CAP_RENEW_ScotiabankSalud,1000,1000,0,22/06/2023 11:47,22/06/2023 14:32,9881,0.1,f47755 - Maria Canencio
JOB,Close For Age [ODM],ScotiabankSalud,519902,Pruebas_PERF_CAP_AGE_ScotiabankSalud,6,6,0,22/06/2023 11:02,22/06/2023 11:12,558,0.01,mantovanika
JOB,Close For Age [ODM],ScotiabankSalud,519901,Pruebas_PERF_CAP_AGE_ScotiabankSalud,0,0,0,22/06/2023 10:26,22/06/2023 10:26,9,0,
JOB,Close For Age [ODM],ScotiabankSalud,518902,Pruebas_PERF_CAP_AGE_ScotiabankSalud,0,0,0,21/06/2023 20:23,21/06/2023 20:23,3,0,
JOB,Close For Age [ODM],ScotiabankSalud,518901,Pruebas_PERF_CAP_AGE_ScotiabankSalud,0,0,0,21/06/2023 17:46,21/06/2023 17:46,11,0,
JOB,Close For Age [ODM],ScotiabankSalud,517901,Pruebas_PERF_CAP_AGE_ScotiabankSalud,1,1,0,20/06/2023 16:57,20/06/2023 17:06,559,0,mantovanika
JOB,Close For Age [ODM],ScotiabankSalud,516905,Pruebas_PERF_CAP_AGE_ScotiabankSalud,5225,0,0,20/06/2023 14:39,20/06/2023 14:47,470,11.12,mantovanika
JOB,Close For Age [ODM],ScotiabankSalud,516904,Pruebas_PERF_CAP_AGE_ScotiabankSalud,5216,0,0,20/06/2023 14:14,20/06/2023 14:24,572,9.12,c91415 - Bruno Rodrigues
JOB,Close For Age [ODM],ScotiabankSalud,516903,Pruebas_PERF_CAP_AGE_ScotiabankSalud,5213,0,0,20/06/2023 13:30,20/06/2023 13:38,502,10.38,e38950 - Frank Arregocez
JOB,Close For Age [ODM],ScotiabankSalud,516902,Pruebas_PERF_CAP_AGE_ScotiabankSalud,5216,0,0,20/06/2023 13:12,20/06/2023 13:25,817,6.38,e38950 - Frank Arregocez
JOB,Periodic Premium Billing Generation [ODM],ScotiabankNom10,516901,Pruebas_PERF_CAP_PERIODIC_ScotiabankNom10,0,0,0,20/06/2023 12:54,20/06/2023 13:07,812,0,
JOB,Renew Policy [ODM],ScotiabankSalud2,515902,PruebaRenovacion,0,0,0,20/06/2023 9:03,20/06/2023 12:54,13822,0,mantovanika
JOB,Close For Age [ODM],ScotiabankSalud,515901,Pruebas_PERF_CAP_AGE_ScotiabankSalud,0,0,0,19/06/2023 9:07,20/06/2023 12:57,100244,0,mantovanika
JOB,Close For Age [ODM],ScotiabankSalud,514901,Pruebas_PERF_CAP_AGE_ScotiabankSalud,0,0,0,16/06/2023 7:07,16/06/2023 7:07,4,0,e38950 - Frank Arregocez
JOB,Close For Maturity [ODM],ScotiabankNom10,511902,Pruebas_PERF_CAP_CIERRE_ScotiabankNom10,9,6,0,09/06/2023 18:22,09/06/2023 21:21,10762,0,
JOB,Close For Age [ODM],ScotiabankSalud,511901,Pruebas_PERF_CAP_AGE_ScotiabankSalud,0,0,0,09/06/2023 10:22,09/06/2023 10:22,4,0,e38950 - Frank Arregocez
JOB,Close For Age [ODM],ScotiabankSalud,510901,Pruebas_PERF_CAP_AGE_ScotiabankSalud,0,0,0,08/06/2023 11:29,08/06/2023 11:29,5,0,
JOB,Close For Age [ODM],ScotiabankSalud,509901,Pruebas_PERF_CAP_AGE_ScotiabankSalud,0,0,0,06/06/2023 8:44,06/06/2023 8:44,5,0,mantovanika
JOB,Close For Maturity [ODM],ScotiabankNom10,508902,Pruebas_PERF_CAP_CIERRE_ScotiabankNom10,2,0,0,05/06/2023 9:36,05/06/2023 9:51,893,0,mantovanika
JOB,Close For Maturity [ODM],ScotiabankNom10,508901,Pruebas_PERF_CAP_CIERRE_ScotiabankNom10,0,0,0,05/06/2023 9:31,05/06/2023 9:32,61,0,mantovanika
JOB,Renew Policy [ODM],ScotiabankSalud,507951,Pruebas_PERF_CAP_RENEW_ScotiabankSalud,28280,28278,0,02/06/2023 11:50,02/06/2023 16:11,15692,1.8,
JOB,Renew Policy [ODM],ScotiabankSalud,506901,Pruebas_PERF_CAP_RENEW_ScotiabankSalud,27503,27503,0,01/06/2023 10:40,01/06/2023 14:29,13776,2,
