PROCESO,JOB_TYPE,PRODUTO,PROCESS_ID,JOB_NAME,QTD_OK,HORA_INICIO,HORA_FIM,DURATION_IN_SEC,POLICY_PER_SEC
JOB,Accounting Entry By Period,,422860,362 - Cobranza - SinFecha,0,2/17/2022 17:19,2/17/2022 17:19,17,0
JOB,Accounting Entry By Period,,561924,362 - Cobranza - SinFecha,14,12/27/2022 20:31,12/27/2022 20:32,32,0.44
JOB,Close Policy for Maturity,CoppelSaleVale,513942,CoppelSaleVale - Cierre por madurez,5672,9/8/2022 18:55,9/8/2022 18:59,210,27.01
JOB,Accounting Entry By Period,,513948,DAA1A Accounting,74218,9/9/2022 10:42,9/9/2022 10:48,340,218.29
JOB,Accounting Entry By Period,,511939,362 - Emisión - SinFecha,6,9/2/2022 8:19,9/2/2022 8:21,102,0.06
JOB,Accounting Entry By Period,,441880,DAA1A Accounting,67200,3/30/2022 11:11,3/30/2022 11:14,173,388.44
JOB,Accounting Entry By Period,,432899,362 - Emisión - SinFecha,30,3/15/2022 13:19,3/15/2022 13:20,68,0.44
JOB,Accounting Entry By Period,,513933,DAA1A Accounting,51124,9/8/2022 8:42,9/8/2022 8:46,211,242.29
JOB,Standard Output Payment,,554906,Output table New,6236,12/7/2022 23:00,12/7/2022 23:01,61,102.23
JOB,Accounting Entry By Period,,487879,362 - Emisión - SinFecha,0,7/19/2022 17:51,7/19/2022 17:52,94,0
JOB,Accounting Entry By Period,,478860,DAA1A Accounting,51432,6/21/2022 11:08,6/21/2022 11:12,198,259.76
JOB,Accounting Entry By Period,,517919,362 - Cobranza - SinFecha,1074,9/22/2022 12:57,9/22/2022 12:57,32,33.56
JOB,Standard Output Payment,,483854,Output table Manual por periodo,21020,7/7/2022 13:50,7/7/2022 13:57,394,53.35
JOB,Accounting Entry By Period,,507905,DAA1A Accounting,0,8/22/2022 9:03,8/22/2022 9:03,52,0
JOB,Collector Invoicing,ScotiabankSalud,551923,Billing Bank Account Scotiabank,1716,12/1/2022 9:11,12/1/2022 9:14,217,7.91
JOB,Accounting Entry By Period,,559913,362 - Emisión Reaseguro Cedido Scotiabank- SinFecha,24,12/22/2022 11:11,12/22/2022 11:11,17,1.41
JOB,Accounting Entry By Period,,516928,DAA1A Accounting,96,9/19/2022 18:25,9/19/2022 18:26,75,1.28
JOB,Standard Output Payment,,543903,Output table Manual por periodo,2997,11/16/2022 11:03,11/16/2022 11:05,104,28.82
JOB,Accounting Entry By Period,,467914,362 - Cobranza - SinFecha,0,5/30/2022 23:15,5/30/2022 23:16,46,0
JOB,Collector Invoicing,ScotiabankSalud,553988,Billing Bank Account Scotiabank,1767,12/6/2022 9:20,12/6/2022 9:24,211,8.37
JOB,Accounting Entry By Period,,516907,362 - Cobranza - SinFecha,42,9/15/2022 9:31,9/15/2022 9:32,63,0.67
JOB,Collector Invoicing,,413874,Billing Bank Account Scotiabank,301,1/20/2022 9:03,1/20/2022 9:09,385,0.78
JOB,Accounting Entry By Period,,503909,DAA1A Accounting,0,8/12/2022 11:26,8/12/2022 11:28,79,0
JOB,Collector Invoicing,,422872,Billing Payment Card Scotiabank,2,2/18/2022 11:29,2/18/2022 11:40,666,0
JOB,Collector Invoicing,ScotiabankSalud,535913,Billing Bank Account Scotiabank,3945,10/31/2022 11:33,10/31/2022 11:39,333,11.85
JOB,Accounting Entry By Period,,418855,362 - Cobranza - SinFecha,1792,2/8/2022 10:23,2/8/2022 10:23,26,68.92
JOB,Accounting Entry By Period,,437854,362 - Emisión Reaseguro Cedido Scotiabank- SinFecha,0,3/22/2022 18:48,3/22/2022 18:48,8,0
JOB,Accounting Entry By Period,,537904,362 - Cobranza - SinFecha,8,11/2/2022 21:50,11/2/2022 21:51,28,0.29
JOB,Accounting Entry By Period,,552997,362 - Cobranza - SinFecha,8,12/4/2022 22:41,12/4/2022 22:41,35,0.23
JOB,Accounting Entry By Period,,554931,362 - Emisión - SinFecha,11,12/13/2022 8:45,12/13/2022 8:48,182,0.06
JOB,Accounting Entry By Period,,484852,362 - Cobranza - SinFecha,1780,7/8/2022 8:17,7/8/2022 8:18,50,35.6
JOB,Accounting Entry By Period,,478881,362 - Emisión - SinFecha,4,6/22/2022 16:06,6/22/2022 16:08,120,0.03
JOB,Accounting Entry By Period,,497858,362 - Cobranza - SinFecha,0,8/3/2022 12:26,8/3/2022 12:26,21,0
JOB,Accounting Entry By Period,,492859,362 - Cobranza - SinFecha,8,7/26/2022 11:27,7/26/2022 11:28,22,0.36
JOB,Screening Adam,,446946,Sreening ADAM,7177919,4/12/2022 6:00,4/12/2022 8:18,8283,866.58
JOB,Standard Output Payment,,550912,Output table Manual por periodo,45,11/29/2022 11:32,11/29/2022 11:33,5,9
JOB,Accounting Entry By Period,,537916,362 - Cobranza - SinFecha,98,11/3/2022 10:28,11/3/2022 10:29,24,4.08
JOB,Accounting Entry By Period,,425872,362 - Cobranza - SinFecha,24,2/22/2022 23:47,2/22/2022 23:47,20,1.2
JOB,Accounting Entry By Period,,519904,362 - Cobranza - SinFecha,630,9/26/2022 9:45,9/26/2022 9:46,33,19.09
JOB,Screening Adam,,501877,Sreening ADAM,47507,8/9/2022 6:00,8/9/2022 6:00,47,1010.79
JOB,Screening Adam,,502864,Sreening ADAM,4482043,8/10/2022 18:24,8/10/2022 21:41,11835,378.71
JOB,Accounting Entry By Period,,494851,DAA1A Accounting,19856,7/29/2022 9:25,7/29/2022 9:27,139,142.85
JOB,Collector Invoicing,ScotiabankSalud,520954,Billing Payment Card Scotiabank,2,9/30/2022 11:38,9/30/2022 11:40,95,0.02
JOB,Standard Output Payment,,474934,Output table New,9467,6/11/2022 22:41,6/11/2022 22:42,62,152.69
JOB,Accounting Entry By Period,,451856,362 - Emisión - SinFecha,8,4/22/2022 11:06,4/22/2022 11:08,114,0.07
